Filename: amitag_21July2020_o4_02_1.fcs
Event #	143Nd_p53_Human_(Nd143Di)	144Nd_MHC_ClassI_(Nd144Di)	147Sm_p-Histone_H2A.x_(Sm147Di)	149Sm_p-p65_(Sm149Di)	150Nd_pRb_(Nd150Di)	153Eu_PL_(Eu153Di)	156Gd_p38_(Gd156Di)	159Tb_p21_(Tb159Di)	163Dy_CD54_(Dy163Di)	168Er_Ki-67_(Er168Di)	169Tm_p-16_(Tm169Di)	176Yb_BCL-xl_(Yb176Di)	209Bi_MHCII_(Bi209Di)
342	2.6502480506896973	329.16717529296875	24.58217430114746	1.9819518327713013	804.5150146484375	51.21096420288086	15.13416576385498	6.3268327713012695	52.76533889770508	0.9316986799240112	2.684155225753784	111.48345184326172	435.0914611816406
343	0.19036832451820374	199.02972412109375	13.560931205749512	3.811866521835327	399.25054931640625	8.481801986694336	3.093667984008789	0.0	89.95094299316406	0.67367023229599	1.615841031074524	6.881662845611572	6394.2216796875
344	1.1812009811401367	36.805137634277344	9.418517112731934	0.0	417.52557373046875	19.98978614807129	3.2828452587127686	2.2262167930603027	26.223957061767578	0.0	1.8819645643234253	8.451525688171387	199.7483673095703
345	4.205305099487305	70.55029296875	1.1770367622375488	3.1293399333953857	474.8677978515625	10.803435325622559	2.8116016387939453	0.0	424.2878723144531	0.0	0.4902275800704956	20.364471435546875	1998.704833984375
346	3.0183701515197754	97.6395034790039	8.230365753173828	2.170083999633789	437.598388671875	42.88814926147461	3.6838552951812744	6.049144268035889	306.3158874511719	0.0	4.679445266723633	40.95927810668945	1689.3955078125
347	1.9013895988464355	117.18629455566406	33.61501693725586	4.204537868499756	485.2920837402344	104.54319763183594	4.392985820770264	3.8311638832092285	0.0	0.0	4.622145652770996	43.39771270751953	413.7825012207031
348	1.763774037361145	637.951171875	14.041082382202148	2.451188802719116	275.2897033691406	124.41754913330078	0.0	6.775135517120361	3729.437744140625	0.0	1.0313879251480103	15.056532859802246	3007.55419921875
349	3.256903886795044	268.3248596191406	12.63619613647461	6.1875834465026855	424.10150146484375	76.73041534423828	10.03997802734375	0.0	509.1847229003906	0.0	4.064432144165039	31.815465927124023	5872.25244140625
350	1.4013861417770386	177.7600555419922	14.909132957458496	2.4785335063934326	680.0366821289062	8.825909614562988	3.4380383491516113	2.7945375442504883	178.2394256591797	4.0585455894470215	5.820338249206543	67.54915618896484	1636.8436279296875
351	0.867357611656189	120.1276626586914	3.405689001083374	2.6730244159698486	460.42742919921875	8.298541069030762	0.38041529059410095	2.5789334774017334	116.14761352539062	0.8683634996414185	7.033727645874023	40.079280853271484	1894.4072265625
