Filename: Ep_y1_amitag_13Dec2020_04_1_concatenated_Live.fcs
Event #	143Nd_p53_(Nd143Di)	144Nd_MHCI_(Nd144Di)	147Sm_pH2AX_(Sm147Di)	149Sm_pp65_(Sm149Di)	150Nd_pRB_(Nd150Di)	153Eu_PL1_(Eu153Di)	156Gd_p38_(Gd156Di)	159Tb_p21_(Tb159Di)	163Dy_CD54_(Dy163Di)	164Dy_SCA1_(Dy164Di)	168Er_Ki67_(Er168Di)	169Tm_p16_(Tm169Di)	209Bi_MHCII_(Bi209Di)
44	0.0	24.0279598236084	10.881696701049805	4.545557022094727	249.42391967773438	0.0	0.0	1.9233969449996948	68.90430450439453	0.0	39.73673629760742	0.0	1272.3072509765625
45	6.045003890991211	79.5093994140625	11.034605979919434	0.0	422.5943603515625	0.0	1.6493910551071167	0.0	159.45277404785156	62.15898132324219	14.32339859008789	0.0	369.123046875
46	3.0468759536743164	6.432104110717773	0.0	2.4949209690093994	214.48550415039062	3.488157033920288	4.317998886108398	2.482093095779419	3.145642042160034	16.037321090698242	0.0	1.1931560039520264	0.0
47	0.6247180104255676	19.4910945892334	4.652537822723389	4.1293158531188965	162.76258850097656	8.127129554748535	8.543460845947266	8.067460060119629	48.87997055053711	58.88029098510742	2.559217929840088	0.5025150179862976	6.890935897827148
48	5.395599842071533	22.159908294677734	51.139305114746094	1.6884020566940308	732.62255859375	2.0182979106903076	0.22689999639987946	3.9604289531707764	27.429122924804688	105.54850769042969	20.90501594543457	0.0001340000017080456	0.0
49	8.46541976928711	33.54281234741211	47.371192932128906	2.9987270832061768	660.7982788085938	7.938046932220459	0.17692600190639496	0.0	43.32906723022461	209.62374877929688	10.254035949707031	1.8009450435638428	0.0
50	0.0	17.10234260559082	40.319549560546875	0.0	231.0067596435547	4.795373916625977	0.0	0.0	15.315467834472656	27.283594131469727	0.11292099952697754	0.0	0.0
51	1.4709930419921875	19.882892608642578	2.271660089492798	0.0	271.3456726074219	2.3435330390930176	0.0	0.02408199943602085	18.767261505126953	20.322092056274414	12.868006706237793	1.2331629991531372	11.592832565307617
52	0.0	50.77041244506836	2.2759439945220947	0.0	128.45462036132812	2.2692270278930664	0.0	0.0	167.0309600830078	21.78338050842285	83.61627960205078	0.9007580280303955	608.3560791015625
53	0.0	21.763507843017578	0.25978899002075195	0.0	415.4960632324219	0.8836979866027832	0.0	4.393111228942871	179.4139862060547	8.921870231628418	9.42685317993164	0.0	310.9903869628906
54	0.39982399344444275	30.40459442138672	23.026742935180664	0.0	326.8725891113281	0.0	9.818452835083008	1.138401985168457	173.2964630126953	11.378894805908203	24.60348892211914	0.0	231.5290985107422
55	0.0	140.28578186035156	0.0	5.7033281326293945	84.54996490478516	5.4174580574035645	0.0	1.38099205493927	250.1376495361328	31.440624237060547	26.541074752807617	3.886056900024414	194.99574279785156
56	0.0	12.945585250854492	6.107992172241211	1.448093056678772	226.54800415039062	1.2901149988174438	0.0	1.4843330383300781	154.314697265625	14.606250762939453	12.282630920410156	2.0274620056152344	195.655517578125
57	6.335446834564209	27.130390167236328	4.367101192474365	0.0	258.9791259765625	0.7862370014190674	12.594290733337402	3.2112910747528076	9.0221586227417	53.27755355834961	0.44801801443099976	7.7858781814575195	4.260611057281494
58	0.5127580165863037	33.7777214050293	18.492361068725586	0.16320300102233887	694.2833251953125	2.922308921813965	3.866529941558838	0.5093280076980591	22.55948257446289	256.97723388671875	19.22665023803711	3.3308160305023193	0.0
59	2.0047519207000732	21.982030868530273	1.7632019519805908	0.0	238.29710388183594	1.6827340126037598	5.595441818237305	0.0	96.30191040039062	4.751801013946533	38.74296951293945	2.6949760913848877	371.7710266113281
60	0.0	14.768095970153809	22.203569412231445	0.0	264.2445068359375	3.3806068897247314	0.7493219971656799	0.0	31.699689865112305	3.009453058242798	16.388580322265625	0.0	328.950439453125
61	0.0	60.43541717529297	0.0	0.0	12.059420585632324	0.0	2.787200927734375	7.8710551261901855	826.6937255859375	18.74439811706543	13.457728385925293	0.9499629735946655	1021.1088256835938
62	9.302674293518066	33.15018844604492	13.31975269317627	0.0	280.55145263671875	0.39503398537635803	5.826423168182373	0.9705719947814941	140.8922882080078	46.44684982299805	15.205636978149414	0.0	260.9695739746094
63	15.60564136505127	86.70096588134766	31.84942054748535	0.17036199569702148	314.2479553222656	0.8029490113258362	1.8618229627609253	5.329273223876953	129.66973876953125	48.91923522949219	52.313987731933594	0.21184100210666656	1142.892333984375
64	11.407121658325195	28.41382598876953	7.408125877380371	0.6181139945983887	50.9245719909668	9.681099891662598	7.719950199127197	0.0	206.51510620117188	34.709293365478516	27.84758758544922	10.497817039489746	123.94866180419922
65	2.634787082672119	69.22979736328125	12.091124534606934	0.5941960215568542	213.62689208984375	0.9463030099868774	0.3481200039386749	6.36522912979126	703.2202758789062	73.94876861572266	9.732447624206543	0.0	967.928955078125
66	0.0	11.262535095214844	1.3999710083007812	0.0	219.93165588378906	1.907183051109314	0.3576579988002777	6.4382829666137695	62.72213363647461	2.250610113143921	7.926506042480469	0.0	334.5876159667969
67	0.0	0.9389119744300842	3.1575849056243896	0.0	114.62354278564453	0.0	0.0	0.0	62.61170959472656	4.382626056671143	10.086809158325195	0.0	727.185302734375
68	0.0	74.41368865966797	10.217809677124023	0.5706179738044739	406.30609130859375	1.9455610513687134	0.37337300181388855	0.0	518.8115234375	161.99986267089844	33.46934127807617	2.3289990425109863	1008.9454956054688
69	6.633460998535156	174.54507446289062	58.299652099609375	0.0	1533.9644775390625	3.7092509269714355	1.6684529781341553	1.9046380519866943	89.05894470214844	515.56591796875	17.76641273498535	0.0	8.986774444580078
70	0.7064909934997559	14.427528381347656	0.0	1.8106869459152222	316.2904357910156	0.0	1.7515579462051392	0.008441999554634094	73.034912109375	1.5099619626998901	27.524633407592773	9.100014686584473	199.7968292236328
71	0.0	33.574520111083984	11.627158164978027	0.0	44.91432571411133	4.429117202758789	3.063041925430298	1.5319830179214478	38.90011215209961	19.6970272064209	13.030410766601562	0.0	106.83704376220703
72	0.0	23.62592887878418	2.876405954360962	1.4651939868927002	244.13858032226562	0.0	2.520374059677124	11.75412654876709	116.69629669189453	7.80356502532959	34.953651428222656	5.277182102203369	363.8409118652344
73	0.0	43.06957244873047	16.44622802734375	0.0	248.8997039794922	3.932542085647583	2.579526901245117	2.7449660301208496	89.167236328125	19.3837890625	18.911550521850586	0.0	201.62789916992188
74	9.198431968688965	63.19392395019531	2.1891520023345947	3.0915908813476562	427.983642578125	12.89768123626709	1.5720820426940918	0.0	151.838623046875	64.06159973144531	50.97286605834961	16.181419372558594	394.5308837890625
75	0.39690300822257996	1.7288479804992676	9.269645690917969	0.0	314.38409423828125	0.0	6.8442487716674805	3.0364930629730225	36.045738220214844	0.0	24.506376266479492	0.34408798813819885	52.96026611328125
